  3398   1491
   491    261
   551    240
   564   1075
   550    261
   542   1081
   543    270
   541    261
   546    271
   540   1080
   541   1081
   541    270
   531    270
   542    271
   541   1081
   542   1081
   541    269
   538    270
   541    270
   531    270
   541    271
   541    270
   541    270
   541    271
   531    280
   531    271
   541    271
   532    280
   531    280
   535   1081
   541    270
   532    280
   531    281
   531    270
   542    270
   531    280
   534    280
   530   1091
   532    270
   533    280
   531    280
   531    280
   531   1090
   528    279
   531    275
   527    282
   534    272
   532    280
   531    280
   531   1085
   541    271
   531   1086
   540   1083
   531   1068
   561   1081
   541   1080
   541   1085
   531  40125
