  3406   1480
   512    220
   590    220
   591   1060
   561    220
   591   1060
   561    220
   591    220
   586    220
   591   1060
   561   1052
   563    220
   592    220
   591    220
   591   1060
   561   1053
   567    220
   590    220
   591    221
   581    230
   581    220
   591    221
   591    220
   590    220
   591    220
   582    221
   592    220
   591    220
   588    220
   590   1063
   561    220
   591    220
   581    221
   591    220
   592    220
   592    220
   582    230
   581   1060
   561    220
   592    221
   590    221
   591    221
   581   1060
   562   1060
   561   1061
   561   1060
   562   1063
   560   1061
   561   1060
   561   1060
   561   1063
   562    212
   597   1058
   555    221
   581    221
   591    220
   592    220
   591   1051
   571    221
   581    220
   591    220
   591    220
   592    221
   591   1051
   561    230
   582   1060
   561    220
   591    220
   591    220
   592   1052
   561   1061
   561   1060
   568    221
   580    230
   581    220
   592   1060
   561    221
   592    220
   592    221
   581    220
   591    220
   591    220
   591    220
   591    221
   580    222
   591   1060
   561    221
   591    221
   591    220
   591    220
   581    221
   591    220
   591    221
   591    221
   581    226
   591    220
   591    220
   581    230
   581    220
   592    221
   592    220
   582    230
   582    220
   591    220
   591    220
   591    220
   591    220
   585    220
   590    221
   591    220
   581    231
   581    230
   582    220
   590    220
   591    220
   591    220
   581    231
   581    220
   591    220
   591    220
   590    222
   581    221
   592   1061
   561    221
   592    220
   581   1060
   571    221
   581    220
   591    221
   591   1062
   562   1052
   561    230
   581    220
   591    221
   591    220
   591    220
   582    230
   580   1060
   561    231
   583   1060
   560    221
   591    221
   591   1052
   562    230
   582    221
   591  40071
